City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
328,guaymas,5,MX,1554508597,60,27.92,86.0,18.34,-110.9
329,te anau,0,NZ,1554508398,70,-45.41,47.37,3.6,167.72
330,kavaratti,8,IN,1554508640,100,10.57,83.73,4.61,72.64
331,yerbogachen,0,RU,1554508641,65,61.28,23.61,3.38,108.01
332,sorland,0,NO,1554508645,100,67.67,38.1,3.71,12.69
333,pundaguitan,0,PH,1554508646,97,6.37,81.93,4.72,126.17
334,bambous virieux,40,MU,1554508441,83,-20.34,78.8,13.87,57.76
335,smolensk,0,RU,1554508647,72,54.79,26.58,2.82,32.05
336,muhos,0,FI,1554507923,86,64.81,33.8,6.93,26.0
337,mogadishu,32,SO,1554508647,100,2.04,81.93,14.56,45.34
338,pecos,1,US,1554508356,14,31.42,84.0,5.82,-103.49
339,atambua,92,ID,1554508651,100,-9.11,77.61,12.88,124.89
340,elizabeth city,90,US,1554508564,93,36.3,62.6,10.09,-76.22
341,njeru,0,UG,1554508652,91,0.43,66.9,3.38,33.15
342,nanortalik,56,GL,1554508653,89,60.14,32.25,23.51,-45.24
343,midland,80,US,1554508296,32,32.0,82.4,16.11,-102.08
344,sinjar,88,SY,1554508656,98,35.59,52.23,4.16,37.0
345,yar-sale,76,RU,1554508656,88,66.83,22.98,31.79,70.83
346,nabire,20,ID,1554508657,78,-3.36,79.23,0.92,135.5
347,muros,75,ES,1554508614,93,42.77,48.0,10.29,-9.06
348,mangai,0,CD,1554508659,93,-4.07,75.54,2.15,19.59
349,havre-saint-pierre,40,CA,1554505200,68,50.23,28.4,24.16,-63.6
350,paamiut,92,GL,1554508660,88,61.99,34.14,27.09,-49.67
351,ketchikan,90,US,1554504960,81,55.34,53.6,13.87,-131.65
352,nova vicosa,0,BR,1554508661,85,-17.89,79.5,11.43,-39.37
353,naryan-mar,32,RU,1554508664,84,67.67,21.27,18.37,53.09
354,naze,32,NG,1554508664,90,5.43,76.98,6.51,7.07
355,ixtapa,90,MX,1554508539,74,20.71,78.8,9.17,-105.21
356,keningau,75,MY,1554507000,74,5.33,82.4,4.7,116.16
357,udon thani,88,TH,1554507000,88,17.4,73.4,5.28,102.79
358,santa marta,40,CO,1554505200,41,11.24,91.4,20.8,-74.21
359,chazuta,40,PE,1554505200,290,-6.57,62.6,6.93,-76.13
360,keti bandar,0,PK,1554508668,93,24.14,79.68,12.55,67.45
361,yuncheng,0,CN,1554508668,50,35.03,56.28,3.94,111.0
362,san joaquin,44,PH,1554508670,78,10.59,80.31,7.4,122.14
363,iralaya,75,HN,1554505200,70,15.0,84.2,9.17,-83.23
364,hamilton,90,CA,1554508290,100,43.26,39.2,3.36,-79.87
365,newport,80,GB,1554508386,70,51.59,46.99,11.41,-3.0
366,arman,88,RU,1554508673,69,59.7,35.31,9.75,150.17
367,beringovskiy,0,RU,1554508674,100,63.05,22.8,6.17,179.32
368,kargopol,0,RU,1554508674,77,61.51,17.85,2.93,38.95
369,devanhalli,20,IN,1554507000,60,13.23,69.8,1.12,77.7
370,teahupoo,40,PF,1554507745,62,-17.83,87.8,9.17,-149.27
371,neftcala,80,AZ,1554508676,92,39.37,48.45,5.84,49.25
372,taltal,0,CL,1554508677,87,-25.41,58.53,1.7,-70.49
373,alamosa,1,US,1554507300,22,37.47,57.2,13.87,-105.87
374,marabba,0,SD,1554508680,39,12.35,65.91,3.71,32.18
375,hammel,36,DE,1554508649,84,48.41,44.6,2.82,10.81
376,vryburg,0,ZA,1554508683,91,-26.96,53.58,7.96,24.73
377,ensenada,76,MX,1554508499,78,31.86,64.99,3.0,-116.62
378,lengshuijiang,80,CN,1554508686,86,27.66,54.12,2.48,111.45
379,tayshet,0,RU,1554508687,67,55.94,18.75,2.15,98.01
380,goma,12,CD,1554508687,96,-1.67,57.27,2.37,29.23
381,filadelfia,92,PY,1554508689,85,-22.35,63.21,16.69,-60.04
